 TUT_BAS_CHAPTER01_PAGE05_OBJECTIVES:0 "Aby kontynuowa¾, naciskaj przycisk §MOddal§! do chwili, a¿ zobaczysz ca³¹ Europ²."
 TUT_BAS_CHAPTER01_PAGE06_OBJECTIVES:0 "Aby kontynuowa¾, naciskaj przycisk §MPrzybli¿ tak d³ugo, jak to b²dzie mo¿liwe§!."
 TUT_BAS_CHAPTER02_PAGE04_TITLE:0 "§YWybieranie floty (4/9)§!"
 TUT_BAS_CHAPTER02_PAGE04_TEXT:0 "Twoje wojsko zosta³o zaokr²towane na królewsk¹ flot² w porcie Gwynedd. Aby przetransportowa¾ oddzia³y przez Morze Irlandzkie, musisz wybra¾ flot² klikni²ciem, lub obj²cie jej obszarem selekcji.§W"
 TUT_BAS_CHAPTER02_PAGE04_OBJECTIVES:0 "Wybierz swoj¹ §Mkrólewsk¹ flot²§!, zlokalizowan¹ w §Mporcie Gwynedd§!."
 TUT_BAS_CHAPTER02_PAGE05_TITLE:0 "§YKierowanie flot¹ (5/9)§!"
 TUT_BAS_CHAPTER02_PAGE05_TEXT:0 "Aby przemieœci¾ flot², kliknij PPM na §MMorze Irlandzkie§!. Gdy twoja flota wyjdzie w morze, zaokr²towane jednostki znajd¹ si² na pok³adach transportowców.\n\n§YPami²taj, aby wznowi¾ gr².§W"
 TUT_BAS_CHAPTER02_PAGE05_OBJECTIVES:0 "Wyœlij swoj¹ flot² na §Morze Irlandzkie§!, aby kontynuowa¾."
 TUT_BAS_CHAPTER02_PAGE06_TITLE:0 "§YZaokr²towana armia (6/10)§!"
 TUT_BAS_CHAPTER02_PAGE06_TEXT:0 "Aby zejœ¾ wojskiem na l¹d, zaznacz flot² i kliknij przycisk §MTransport§!, by wskaza¾ armi²."
 TUT_BAS_CHAPTER02_PAGE06_OBJECTIVES:0 "Wybierz swoj¹ §Mzaokr²towan¹ armi²§!, aby kontynuowa¾."
 TUT_BAS_CHAPTER02_PAGE07_TITLE:0 "§YWy³adowanie armii (7/10)§!"
 TUT_BAS_CHAPTER02_PAGE07_TEXT:0 "Maj¹c zaznaczon¹ swoj¹ armi², kliknij PPM zbuntowan¹ prowincj² §MPale§!, aby wy³adowa¾ tam jednostki.§W"
