 TUT_BAS_CHAPTER01_PAGE05_OBJECTIVES: "To continue you must §MZoom out§! so you can see all of Europe."
 TUT_BAS_CHAPTER01_PAGE06_OBJECTIVES: "To continue you must §MZoom in as close as you can§!." 
 TUT_BAS_CHAPTER02_PAGE04_TITLE: "§YSelecting the Fleet (4/9)§!"
 TUT_BAS_CHAPTER02_PAGE04_TEXT: "Your troops are now attached to the Royal Navy in port Gwynedd. To transport your troops across the Irish Sea you need to select the fleet by clicking on it or by dragging the selection box over it.§W"
 TUT_BAS_CHAPTER02_PAGE04_OBJECTIVES: "Select the §MRoyal Navy§! located in the §MGwynedd port§!."
 TUT_BAS_CHAPTER02_PAGE05_TITLE: "§YMoving the Fleet (5/9)§!"
 TUT_BAS_CHAPTER02_PAGE05_TEXT: "To move your fleet, right-click the §MIrish Sea§! sea province. Once your fleet moves out of port the attached units will be embarked on the ships.\n\n§YRemember to unpause the game.§W"
 TUT_BAS_CHAPTER02_PAGE05_OBJECTIVES: "Send your fleet to the §MIrish Sea§! sea province to continue."
 TUT_BAS_CHAPTER02_PAGE06_TITLE: "§YThe Embarked Army (6/10)§!"
 TUT_BAS_CHAPTER02_PAGE06_TEXT: "To disembark your troops, have the fleet selected and then click the §MTransport§! button to select your army."
 TUT_BAS_CHAPTER02_PAGE06_OBJECTIVES: "Select your §MEmbarked army§! to continue." 
 TUT_BAS_CHAPTER02_PAGE07_TITLE: "§YDisembarking the Army (7/10)§!"
 TUT_BAS_CHAPTER02_PAGE07_TEXT: "Now that your army is selected, right-click on the §MPale§! province where the rebels are to order your troops to disembark.§W"
 TUT_BAS_CHAPTER02_PAGE07_OBJECTIVES: "Order your army to §MPale§! to continue."
 TUT_BAS_CHAPTER02_PAGE09_TITLE: "§YThe Siege (9/10)§!"
 TUT_BAS_CHAPTER02_PAGE09_TEXT: "You have defeated the rebels on the battlefield, but the city is still under rebel control. Your army is besieging Pale and it will take some time before the defenders will surrender.\n\n§YThe time it takes to perform certain actions, such as sieging, has been reduced in the tutorial. During a regular game things may take longer.§!"
 TUT_BAS_CHAPTER02_PAGE09_OBJECTIVES: "§MReconquer Pale§! to continue."
 TUT_BAS_CHAPTER02_PAGE10_TITLE: "§YEnd of Chapter (10/10)§!"
 TUT_BAS_CHAPTER02_PAGE10_TEXT: "Victory! You have defeated the rebels and recaptured Pale. You have completed Chapter 2 of the tutorial. In the next chapter you will learn about §MProduction§!." 
 TUT_BAS_CHAPTER03_PAGE05_TEXT: "You can build ships by selecting a coastal province and clicking the §MBuild Ship§! button. There are four different types of ships: Big Ships, Light Ships, Galleys and Transports.\n\n§YClick §MBack§Y to go back to the province view and then click the §MBuild Ship§Y button.§W"
 TUT_BAS_CHAPTER03_PAGE05_OBJECTIVE: "Click §MBuild Ship§! to continue."  
 TUT_BAS_CHAPTER03_PAGE10_TITLE: "§YProduction Interface (10/12)§!"
 TUT_BAS_CHAPTER03_PAGE10_TEXT: "As an empire grows larger it becomes more difficult to manage. The §MProduction Interface§! will help you with constructing larger amounts of buildings or training troops. Selecting a building from the list will update the mapmode with information regarding where you would get the most benefit.\n\n§YCheck the top-left of the screen.§!"
 TUT_BAS_CHAPTER03_PAGE10_OBJECTIVES: "Click the §MProduction Interface button§! to continue."
 TUT_BAS_CHAPTER03_PAGE11_TITLE: "§YProduction Interface (11/12)§!"
 TUT_BAS_CHAPTER03_PAGE11_TEXT: "Select a unit from the list and then click on the map to start production. You can either click directly on the map or click the '§M+§!' icons. Clicking a province more than once will queue the ship or unit.\n\n§YStart production in 5 different provinces and then remember to unpause the game.§!"
